Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Daily);Environment:Site Outdoor Air Relative Humidity [%](Daily);BEZERREIRO:Zone Operative Temperature [C](Daily);CIRCULA:Zone Operative Temperature [C](Daily);BEZERREIRO:Zone Air Relative Humidity [%](Daily);CIRCULA:Zone Air Relative Humidity [%](Daily) 
 05/16;15,554166666666668;80,41666666666667;19,73315585130143;19,42903086405038;85,74169796843131;86,47225696934777 
 05/17;15,926041666666672;86,13541666666667;19,687023391931175;19,366519908102899;85,86023497553458;86,69576661948378 
 05/18;14,0328125;83,86458333333333;19,405003177181773;19,062761226197794;87,52408026327332;88,49774017178841 
 05/19;12,668750000000001;83,86458333333333;19,522150281432525;19,124195358959566;87,05212036783935;88,30017635566715 
 05/20;13,451562500000002;81,265625;19,83903058798612;19,396982566015998;85,2175540986313;86,66990803151639 
 05/21;14,517708333333334;70,9375;20,26419152621668;19,816516777567594;82,29116760080834;83,72786042220425 
 05/22;15,549479166666666;77,16666666666667;20,300802709036;19,89205951896842;81,94099242737156;83,18065932932722 
 05/23;10,838020833333332;84,97395833333333;19,39612933738719;18,962247763644748;87,92873465101381;89,39789593997216 
 05/24;8,440625;74,24479166666667;18,2729912996142;17,71635819289774;94,33193730470259;96,14854223244726 
 05/25;10,001041666666666;83,0625;17,04556265794549;16,385399010109987;97,6762534785896;97,99713380368906 
 05/26;11,3671875;85,078125;16,421638434026609;15,732118955197178;95,87132157438987;96,20344945208977 
 05/27;12,346874999999999;86,640625;16,35234177539232;15,686688966999965;94,11139690256671;94,30270712565484 
 05/28;12,363541666666665;97,58333333333333;16,037793163165469;15,405732394199726;95,51333454177167;95,52718067853447 
 05/29;13,922395833333333;94,390625;16,245805911955185;15,64239307905077;93,56897547722974;93,78154465641235 
 05/30;15,535937499999998;79,75;16,55901929658752;16,0287396018756;90,89911242530353;90,94290159912022 
 05/31;15,983333333333335;84,46875;16,912279886304245;16,459133549963015;88,19820862893931;87,85296116317137 
 06/01;13,904166666666667;89,609375;16,680031744332074;16,271537411187393;89,23353236536417;88,65555986704709 
 06/02;13,116666666666668;94,15625;16,57509598002436;16,157289066534113;90,19912077496849;89,64908443331324 
 06/03;13,673958333333332;95,44270833333333;16,375476881663095;15,94892376524273;91,4055188220168;90,906588998625 
 06/04;13,614583333333334;95,00520833333333;16,52430000306757;16,087250364916959;90,15421541784913;89,71173989595254 
 06/05;14,071354166666666;87,76041666666667;16,803137460690356;16,414160320191387;88,27928062126917;87,57712379215757 
 06/06;14,796875;84,80729166666667;16,68728828015463;16,334145105418267;89,18374354997543;88,28599817254139 
